Timestamp,Shoulder Width (cm),Chest (cm),Waist (cm),Hip Width (cm),Arm Length (cm),Leg Length (cm),Height (cm)
2025-08-11 20:41:43,40.0,100.0,26.38,26.38,12.83,75.0,129.52
2025-08-11 20:41:43,40.06,100.15,26.5,26.5,12.07,75.27,130.99
2025-08-11 20:41:43,39.77,99.43,26.5,26.5,11.81,75.01,131.53
2025-08-11 20:41:43,39.62,99.05,26.51,26.51,11.67,75.01,131.96
2025-08-11 20:41:43,39.61,99.03,26.77,26.77,11.63,75.15,132.37
2025-08-11 20:41:43,39.07,97.67,26.37,26.37,11.86,75.38,133.33
2025-08-11 20:41:43,39.08,97.7,26.37,26.37,12.16,75.37,133.75
2025-08-11 20:41:44,39.08,97.7,26.51,26.51,12.65,75.63,134.17
2025-08-11 20:41:44,39.08,97.7,26.5,26.5,13.14,75.5,134.3
2025-08-11 20:41:44,39.21,98.03,26.63,26.63,13.44,75.74,135.41
2025-08-11 20:41:44,39.34,98.35,26.89,26.89,13.64,75.62,135.95
2025-08-11 20:41:44,39.34,98.35,27.03,27.03,14.39,75.24,136.33
2025-08-11 20:41:44,39.74,99.35,27.17,27.17,14.25,75.81,137.13
2025-08-11 20:41:44,39.88,99.7,27.18,27.18,14.3,75.84,137.9
2025-08-11 20:41:44,39.62,99.05,27.19,27.19,14.26,77.2,140.03
2025-08-11 20:41:44,39.21,98.03,27.05,27.05,14.0,76.97,139.17
2025-08-11 20:41:44,39.34,98.35,27.31,27.31,13.76,77.37,138.48
2025-08-11 20:41:44,40.42,101.05,27.71,27.71,13.88,77.58,137.11
2025-08-11 20:41:44,40.96,102.4,27.57,27.57,14.02,77.58,134.7
2025-08-11 20:41:44,39.96,99.9,26.77,26.77,15.06,77.4,129.75
2025-08-11 20:41:44,39.69,99.22,26.92,26.92,16.58,77.79,128.69
2025-08-11 20:41:44,39.47,98.67,26.77,26.77,17.4,77.97,127.38
2025-08-11 20:41:44,39.44,98.6,26.78,26.78,18.18,78.81,128.43
2025-08-11 20:41:44,38.97,97.42,26.66,26.66,18.5,79.26,129.81
2025-08-11 20:41:44,39.08,97.7,27.06,27.06,19.04,79.78,131.01
2025-08-11 20:41:44,38.75,96.88,27.06,27.06,18.74,79.22,130.24
2025-08-11 20:41:44,38.46,96.15,26.95,26.95,18.61,79.87,132.14
2025-08-11 20:41:45,38.2,95.5,26.81,26.81,18.87,80.14,133.38
2025-08-11 20:41:45,38.44,96.1,26.96,26.96,18.74,79.99,134.56
2025-08-11 20:41:45,38.84,97.1,26.95,26.95,18.4,79.84,135.73
2025-08-11 20:41:45,38.84,97.1,26.7,26.7,17.94,80.51,143.05
2025-08-11 20:41:45,38.63,96.58,25.1,25.1,17.22,79.96,144.47
2025-08-11 20:41:45,38.03,95.08,24.44,24.44,16.05,79.42,143.76
2025-08-11 20:41:45,37.69,94.22,24.16,24.16,15.13,79.95,144.11
2025-08-11 20:41:45,37.81,94.53,24.52,24.52,16.95,80.52,145.0
2025-08-11 20:41:45,37.69,94.22,24.93,24.93,19.1,80.65,146.36
2025-08-11 20:41:45,37.57,93.92,24.93,24.93,20.84,80.58,147.02
2025-08-11 20:41:45,37.53,93.83,24.91,24.91,41.47,78.37,144.91
2025-08-11 20:41:45,37.54,93.85,24.91,24.91,40.75,77.54,145.49
2025-08-11 20:41:45,37.42,93.55,24.77,24.77,40.14,76.85,145.15
2025-08-11 20:41:45,37.56,93.9,24.66,24.66,36.41,76.61,144.59
2025-08-11 20:41:45,37.56,93.9,24.94,24.94,42.43,76.5,144.75
2025-08-11 20:41:45,37.17,92.93,24.77,24.77,44.03,76.34,144.39
2025-08-11 20:41:45,36.5,91.25,24.5,24.5,37.89,76.44,144.05
2025-08-11 20:41:45,35.77,89.43,23.94,23.94,36.12,76.38,142.36
